paper,title,conference,year
https://dblp.org/rec/conf/iclr/CornelioSHH23,Learning where and when to reason in neuro-symbolic inference.,ICLR,2023
https://dblp.org/rec/conf/icml/MarconatoBFCPT23,"Neuro-Symbolic Continual Learning: Knowledge, Reasoning Shortcuts and Concept Rehearsal.",ICML,2023
https://dblp.org/rec/conf/nips/MarconatoTVP23,Not All Neuro-Symbolic Concepts Are Created Equal: Analysis and Mitigation of Reasoning Shortcuts.,NeurIPS,2023
https://dblp.org/rec/conf/iclr/Li0C0CM023,Softened Symbol Grounding for Neuro-symbolic Systems.,ICLR,2023
https://dblp.org/rec/conf/iclr/LuFZXWEW23,Neuro-Symbolic Procedural Planning with Commonsense Prompting.,ICLR,2023
https://dblp.org/rec/conf/nips/Weng0J23,Decompose Novel into Known: Part Concept Learning For 3D Novel Class Discovery.,NeurIPS,2023
https://dblp.org/rec/conf/iclr/OldenhofAMB23,Weakly Supervised Knowledge Transfer with Probabilistic Logical Reasoning for Object Detection.,ICLR,2023
https://dblp.org/rec/conf/iclr/WuZNMFM23,Weakly Supervised Explainable Phrasal Reasoning with Neural Fuzzy Logic.,ICLR,2023
https://dblp.org/rec/journals/jmlr/RudinS23,Globally-Consistent Rule-Based Summary-Explanations for Machine Learning Models: Application to Credit-Risk Evaluation.,J. Mach. Learn. Res.,2023
https://dblp.org/rec/conf/aaai/AmadoPM23,Robust Neuro-Symbolic Goal and Plan Recognition.,AAAI,2023
https://dblp.org/rec/conf/iclr/YangFKP23,LogicDP: Creating Labels for Graph Data via Inductive Logic Programming.,ICLR,2023
https://dblp.org/rec/conf/icml/FeldsteinJT23,Parallel Neurosymbolic Integration with Concordia.,ICML,2023
https://dblp.org/rec/conf/cvpr/HsuM023,NS3D: Neuro-Symbolic Grounding of 3D Objects and Relations.,CVPR,2023
https://dblp.org/rec/conf/aaai/Ramos-GonzalezB23,Prototyping Logic-Based AI Services with LogicUS.,AAAI,2023
https://dblp.org/rec/conf/ijcai/YangMRR23,Safe Reinforcement Learning via Probabilistic Logic Shields.,IJCAI,2023
https://dblp.org/rec/conf/ijcai/Lorini23,A Rule-Based Modal View of Causal Reasoning.,IJCAI,2023
https://dblp.org/rec/conf/ijcai/LanzingerSG23,MV-Datalog+/-: Effective Rule-based Reasoning with Uncertain Observations (Extended Abstract).,IJCAI,2023
https://dblp.org/rec/conf/ijcai/Kouvaros23,Towards Formal Verification of Neuro-symbolic Multi-agent Systems.,IJCAI,2023
https://dblp.org/rec/conf/ijcai/YuanZX0LS023,Sequential Recommendation with Probabilistic Logical Reasoning.,IJCAI,2023
https://dblp.org/rec/conf/aaai/TranG23,Neurosymbolic Reasoning and Learning with Restricted Boltzmann Machines.,AAAI,2023
https://dblp.org/rec/conf/ijcai/EiterGHO23,A Logic-based Approach to Contrastive Explainability for Neurosymbolic Visual Question Answering.,IJCAI,2023
https://dblp.org/rec/conf/acl/AgravanteKTMG23,Learning Neuro-Symbolic World Models with Conversational Proprioception.,ACL (2),2023
https://dblp.org/rec/conf/ijcai/000223a,Reliable Neuro-Symbolic Abstractions for Planning and Learning.,IJCAI,2023
https://dblp.org/rec/conf/nips/ChenCFHS23,Differentiable Neuro-Symbolic Reasoning on Large-Scale Knowledge Graphs.,NeurIPS,2023
https://dblp.org/rec/conf/cvpr/HongLDCTG23,3D Concept Learning and Reasoning from Multi-View Images.,CVPR,2023
https://dblp.org/rec/conf/aaai/HerronJ23,An Analysis of the Deliberation and Task Performance of an Active Logic Based Agent (Student Abstract).,AAAI,2023
https://dblp.org/rec/conf/ijcai/CunningtonL0R23,Neuro-Symbolic Learning of Answer Set Programs from Raw Data.,IJCAI,2023
https://dblp.org/rec/conf/ijcai/DemirN23,Neuro-Symbolic Class Expression Learning.,IJCAI,2023
https://dblp.org/rec/conf/acl/PryorYLKRBG23,Using Domain Knowledge to Guide Dialog Structure Induction via Neural Probabilistic Soft Logic.,ACL (1),2023
https://dblp.org/rec/conf/acl/OzturklerMWJ23,ThinkSum: Probabilistic reasoning over sets using large language models.,ACL (1),2023
https://dblp.org/rec/conf/acl/NandiKSM23,Simple Augmentations of Logical Rules for Neuro-Symbolic Knowledge Graph Completion.,ACL (2),2023
https://dblp.org/rec/conf/naacl/Prange0K22,Linguistic Frameworks Go Toe-to-Toe at Neuro-Symbolic Language Modeling.,NAACL-HLT,2022
https://dblp.org/rec/journals/tacl/FengYZG22,Neuro-symbolic Natural Logic with Introspective Revision for Natural Language Inference.,Trans. Assoc. Comput. Linguistics,2022
https://dblp.org/rec/conf/nips/AhmedTCBV22,Semantic Probabilistic Layers for Neuro-Symbolic Learning.,NeurIPS,2022
https://dblp.org/rec/conf/nips/MisinoMS22,VAEL: Bridging Variational Autoencoders and Probabilistic Logic Programming.,NeurIPS,2022
https://dblp.org/rec/conf/nips/ArakelyanHAGHR22,NS3: Neuro-symbolic Semantic Code Search.,NeurIPS,2022
https://dblp.org/rec/conf/ijcai/LawBR22,Search Space Expansion for Efficient Incremental Inductive Logic Programming from Streamed Data.,IJCAI,2022
https://dblp.org/rec/conf/nips/WuTWYLSL22,ZeroC: A Neuro-Symbolic Model for Zero-shot Concept Recognition and Acquisition at Inference Time.,NeurIPS,2022
https://dblp.org/rec/conf/nips/YoungDB22,Neurosymbolic Deep Generative Models for Sequence Data with Relational Constraints.,NeurIPS,2022
https://dblp.org/rec/conf/nips/Liang00022,Drawing out of Distribution with Neuro-Symbolic Generative Models.,NeurIPS,2022
https://dblp.org/rec/conf/ijcai/MitchenerTCR22,"Detect, Understand, Act: A Neuro-Symbolic Hierarchical Reinforcement Learning Framework (Extended Abstract).",IJCAI,2022
https://dblp.org/rec/conf/ijcai/Nunez-Molina22,Application of Neurosymbolic AI to Sequential Decision Making.,IJCAI,2022
https://dblp.org/rec/conf/icml/GlanoisJFWZ0LH22,Neuro-Symbolic Hierarchical Rule Induction.,ICML,2022
https://dblp.org/rec/conf/ijcai/XieKN22,Neuro-Symbolic Verification of Deep Neural Networks.,IJCAI,2022
https://dblp.org/rec/conf/icml/0002XHSRN22,Neuro-Symbolic Language Modeling with Automaton-augmented Retrieval.,ICML,2022
https://dblp.org/rec/conf/aaai/SenCRG22,Neuro-Symbolic Inductive Logic Programming with Logical Neural Networks.,AAAI,2022
